generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1773814034-oCFeK10V16wOLrWkqMM0,2026-03-18 06:07:14.832,0.008896,,-0.008802,0,0,67884,130,0,67712,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,6755,2571,OpenClaw,OPenClaw
gen-1773814028-LxaR4YCvGRj7IVfYUzLO,2026-03-18 06:07:08.409,0.008895,,-0.008744,0,0,67712,91,0,67264,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,5961,2828,OpenClaw,OPenClaw
gen-1773814021-Y3AjyxfxAFINZNp9PlnO,2026-03-18 06:07:01.880,0.00885,,-0.00876,0,0,67552,127,0,67392,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,6335,2434,OpenClaw,OPenClaw
gen-1773814014-4wjVKWtwlYJUIWeRU87q,2026-03-18 06:06:54.345,0.017344,,-0.000216,0,0,67418,85,0,1664,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,7438,3838,OpenClaw,OPenClaw
gen-1773814007-AThFbYMuyAB7Y4urwUb6,2026-03-18 06:06:47.797,0.009196,,-0.008336,0,0,67317,82,0,64128,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,5751,2893,OpenClaw,OPenClaw
gen-1773813994-Ll8BQmMVz8fULEfL0XOy,2026-03-18 06:06:34.491,0.017275,,-0.000216,0,0,66831,305,0,1664,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,12638,3499,OpenClaw,OPenClaw
gen-1773813989-C1OgZPwmrF2F37TkLJzU,2026-03-18 06:06:29.224,0.016484,,-0.000216,0,0,64150,57,0,1664,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,5049,2957,OpenClaw,OPenClaw
gen-1773810454-3AMaun9EEo6IQejYlpCT,2026-03-18 05:07:34.557,0.009113,,-0.007521,0,0,63742,164,0,57856,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,stop,stop,7935,2812,OpenClaw,OPenClaw
gen-1773810448-GDH2Os0fvbfPhkTy9rkd,2026-03-18 05:07:28.148,0.015855,,-0.000066,0,0,61121,80,0,512,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,6282,3608,OpenClaw,OPenClaw
gen-1773810437-khr50jqwSy1VRM0ObbJl,2026-03-18 05:07:17.908,0.015245,,-0.000066,0,0,58567,224,0,512,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,10077,3301,OpenClaw,OPenClaw
gen-1773810430-lz7rEZ2wjflLnSkzJwqN,2026-03-18 05:07:10.130,0.015046,,-0.000191,0,0,58420,129,0,1472,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,7677,3778,OpenClaw,OPenClaw
gen-1773810423-QGLN6Pjz3AaQpIunLcqN,2026-03-18 05:07:03.699,0.007716,,-0.007463,0,0,58248,91,0,57408,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,5739,3200,OpenClaw,OPenClaw
gen-1773810417-f23m7To7HunGLLyLe766,2026-03-18 05:06:57.301,0.007621,,-0.007529,0,0,58089,126,0,57920,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,6296,2275,OpenClaw,OPenClaw
gen-1773810411-1qMFCdiFLy8hgqMW2uZJ,2026-03-18 05:06:51.128,0.015033,,-0.000066,0,0,57955,84,0,512,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,6052,3333,OpenClaw,OPenClaw
gen-1773810404-Abqy3ckyx9dAH2Ya1OEe,2026-03-18 05:06:44.211,0.007959,,-0.007113,0,0,57858,78,0,54720,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,6046,3371,OpenClaw,OPenClaw
gen-1773810393-ziP8Rvj95XNKqRkQIout,2026-03-18 05:06:33.901,0.014832,,-0.000191,0,0,57445,233,0,1472,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,9688,2725,OpenClaw,OPenClaw
gen-1773810388-HnQKxlJcON54qdcHKHdB,2026-03-18 05:06:28.343,0.014068,,-0.000191,0,0,54764,57,0,1472,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,5288,3149,OpenClaw,OPenClaw
gen-1773806943-OScthW68yjx4VuLppPnn,2026-03-18 04:09:03.018,0.00854,,-0.005657,0,0,54324,195,0,43520,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,stop,stop,8701,2366,OpenClaw,OPenClaw
gen-1773806937-E1t32WrXZnqLFtkWH6BE,2026-03-18 04:08:57.240,0.009005,,-0.004467,0,0,51701,82,0,34368,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,5617,2895,OpenClaw,OPenClaw
gen-1773806927-ciOIwK8JxqGBvWjNfhrR,2026-03-18 04:08:47.279,0.006816,,-0.006048,0,0,49139,234,0,46528,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,9719,2844,OpenClaw,OPenClaw
gen-1773806918-3uqZBBcA8dARnGyup2rO,2026-03-18 04:08:38.129,0.006159,,-0.006023,0,0,46531,224,0,46336,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,9053,2424,OpenClaw,OPenClaw
gen-1773806911-6GWCg36aPepJQCwM2h0j,2026-03-18 04:08:31.131,0.006123,,-0.005982,0,0,46373,128,0,46016,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,6917,2520,OpenClaw,OPenClaw
gen-1773806904-dAf6WyU8EYnJVfQM0fQK,2026-03-18 04:08:24.117,0.007679,,-0.004384,0,0,46235,114,0,33728,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,6875,2758,OpenClaw,OPenClaw
gen-1773806897-TaDZT9rGQsvDP342QTpo,2026-03-18 04:08:17.415,0.00642,,-0.005599,0,0,46059,118,0,43072,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,6612,2954,OpenClaw,OPenClaw
gen-1773806891-CPZ7ci18yv79HD3Xfr58,2026-03-18 04:08:11.779,0.006337,,-0.00564,0,0,45946,86,0,43392,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,5432,2659,OpenClaw,OPenClaw
gen-1773806886-gVABHgc31BzUXozVjYsf,2026-03-18 04:08:06.150,0.006994,,-0.004359,0,0,43524,99,0,33536,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,5517,2403,OpenClaw,OPenClaw
gen-1773806880-w8XDZQlrE3i2aGswPKS8,2026-03-18 04:08:00.616,0.006869,,-0.004451,0,0,43399,98,0,34240,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,5446,2180,OpenClaw,OPenClaw
gen-1773806870-2WYU0XffW7OdLfkv2zet,2026-03-18 04:07:50.992,0.007402,,-0.003885,0,0,43102,215,0,29888,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,9079,2324,OpenClaw,OPenClaw
gen-1773806866-6qMwph9NGRboSQxQxRoC,2026-03-18 04:07:45.760,0.00454,,-0.004426,0,0,34377,75,0,34048,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,4380,1939,OpenClaw,OPenClaw
gen-1773806860-WHSrDWbZsZl9pFgVKJyB,2026-03-18 04:07:40.368,0.00875,,-0.000191,0,0,34261,90,0,1472,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,4789,1865,OpenClaw,OPenClaw
gen-1773806854-TnuRsC4Gnkllov9QoBFQ,2026-03-18 04:07:34.260,0.005045,,-0.003868,0,0,34111,120,0,29760,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,5990,1899,OpenClaw,OPenClaw
gen-1773806843-CQNDsJw7SXXdUGKkGjHi,2026-03-18 04:07:23.426,0.005008,,-0.00386,0,0,33753,244,0,29696,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,10173,2550,OpenClaw,OPenClaw
gen-1773806836-IRQG02V4Yp3vwv3F54dl,2026-03-18 04:07:16.405,0.008703,,-0.000066,0,0,33544,128,0,512,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,6553,2563,OpenClaw,OPenClaw
gen-1773806831-is189me6YlM3CZo5Qkz5,2026-03-18 04:07:11.182,0.00406,,-0.003752,0,0,29938,76,0,28864,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,5140,2616,OpenClaw,OPenClaw
gen-1773806826-lCgpGZgOljlEZmxxdXZf,2026-03-18 04:07:06.597,0.007565,,-0.000216,0,0,29799,89,0,1664,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,4485,1582,OpenClaw,OPenClaw
gen-1773806820-d6QR1lGzzJ311ufnQtFw,2026-03-18 04:07:00.694,0.003958,,-0.003793,0,0,29700,81,0,29184,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,5137,2573,OpenClaw,OPenClaw
gen-1773806814-OrUW4eJ3IfME4N8iEtl9,2026-03-18 04:06:54.221,0.004253,,-0.003386,0,0,29199,126,0,26048,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,5956,1934,OpenClaw,OPenClaw
gen-1773806807-LaYBSv3SP5WRSgPoLag7,2026-03-18 04:06:47.115,0.003816,,-0.003735,0,0,28901,100,0,28736,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,6246,3086,OpenClaw,OPenClaw
gen-1773806800-E8xp3bk0JXQoQNBPTF7k,2026-03-18 04:06:40.753,0.007451,,-0.000066,0,0,28745,117,0,512,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,6172,2442,OpenClaw,OPenClaw
gen-1773806797-YGNr9bD668qld4kZrOLe,2026-03-18 04:06:37.200,0.003669,,-0.003128,0,0,26064,57,0,24064,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,3463,1586,OpenClaw,OPenClaw
gen-1773806792-CYkMRomKQMo1tYK6dgnB,2026-03-18 04:06:32.789,0.006099,,-0.000191,0,0,24119,53,0,1472,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,3659,1836,OpenClaw,OPenClaw
gen-1773803189-iebuTfHk0W3Ze3T4Wep3,2026-03-18 03:06:29.101,0.027651,,,0,0,106350,1,0,0,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,stop,stop,15957,15941,OpenClaw,OPenClaw
gen-1773799588-gYOwltMrwN64BU8f1yVH,2026-03-18 02:06:28.586,0.027651,,,0,0,106350,1,0,0,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,stop,stop,15972,15972,OpenClaw,OPenClaw
gen-1773795989-QnD59UzkFuGNP6F60ayD,2026-03-18 01:06:29.312,0.027651,,,0,0,106350,1,0,0,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,stop,stop,15765,15765,OpenClaw,OPenClaw
gen-1773792501-YCIBhDPVI93tXNRt3rGX,2026-03-18 00:08:21.912,0.027608,,,0,0,105931,176,0,0,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,stop,stop,13635,9361,OpenClaw,OPenClaw
gen-1773792486-DHdN6DLA4l2uzRYRmg9m,2026-03-18 00:08:06.501,0.02754,,,0,0,105681,168,0,0,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,14872,10832,OpenClaw,OPenClaw
gen-1773792470-e5JUZHKOxdazGQX8CWi2,2026-03-18 00:07:50.509,0.027471,,,0,0,105507,105,0,0,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,15757,13205,OpenClaw,OPenClaw
gen-1773792452-37d0B5w0MGOA6k4o5XdD,2026-03-18 00:07:32.497,0.027403,,,0,0,105177,151,0,0,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,17725,14040,OpenClaw,OPenClaw
gen-1773792430-nm8r8mBR6zXbFYOP6IDr,2026-03-18 00:07:10.865,0.027341,,,0,0,105047,78,0,0,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,21495,19452,OpenClaw,OPenClaw
gen-1773792415-fVBB6RhwRHdTawwC2xdT,2026-03-18 00:06:55.379,0.027322,,,0,0,104897,129,0,0,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,14746,11580,OpenClaw,OPenClaw
gen-1773792396-YC4eHNoHwWJYbBd6uh9P,2026-03-18 00:06:36.496,0.027173,,,0,0,104246,184,0,0,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,18277,13734,OpenClaw,OPenClaw
gen-1773792389-VxvADEpRTP93J7uuSllZ,2026-03-18 00:06:28.943,0.026221,,-0.000191,0,0,101506,57,0,1472,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,7324,4710,OpenClaw,OPenClaw
gen-1773788854-w3zIzpxvZLOoVJz24P7i,2026-03-17 23:07:34.724,0.013244,,-0.013104,0,0,101089,173,0,100800,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,stop,stop,9798,3742,OpenClaw,OPenClaw
gen-1773788844-WyBbIITZXgPnhPevHbMx,2026-03-17 23:07:24.402,0.013202,,-0.013079,0,0,100842,166,0,100608,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,9785,4197,OpenClaw,OPenClaw
gen-1773788835-SlwaafntBaZ3k844H6xg,2026-03-17 23:07:15.054,0.013211,,-0.013004,0,0,100648,123,0,100032,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,9237,3467,OpenClaw,OPenClaw
gen-1773788826-iyuZvBgXoWKliQjbyJJg,2026-03-17 23:07:06.061,0.013568,,-0.012571,0,0,100322,147,0,96704,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,8861,3849,OpenClaw,OPenClaw
gen-1773788818-mXeq6gj8iiDOKpxwq8IB,2026-03-17 23:06:58.665,0.013158,,-0.01292,0,0,100193,78,0,99392,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,6987,3870,OpenClaw,OPenClaw
gen-1773788806-ZsmtdLlo5LGWLltipG1S,2026-03-17 23:06:46.775,0.025869,,-0.000191,0,0,100046,129,0,1472,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,10887,5931,OpenClaw,OPenClaw
gen-1773788795-UkE6fP4YR6vNo06U5TJ0,2026-03-17 23:06:35.030,0.02572,,-0.000191,0,0,99406,175,0,1472,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,10942,5415,OpenClaw,OPenClaw
gen-1773788788-7euG5QHSk0ZkRU9qBBqK,2026-03-17 23:06:28.357,0.025103,,-0.000066,0,0,96725,57,0,512,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,6406,4164,OpenClaw,OPenClaw
gen-1773786236-ZW1RnHTunncA1Tgo3asK,2026-03-17 22:23:55.927,0.024903,,-0.000191,0,0,96396,85,0,1472,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,stop,stop,8809,5347,OpenClaw,OPenClaw
gen-1773786218-pAnVv5eEsYrhlIGzrfCK,2026-03-17 22:23:38.882,0.028143,,,0,0,108124,83,0,0,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,16128,14196,OpenClaw,OPenClaw
gen-1773786200-oDOB7wZe70xdtlEbYPVJ,2026-03-17 22:23:20.764,0.028114,,,0,0,108006,86,0,0,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,17121,14902,OpenClaw,OPenClaw
gen-1773785188-AlSdL1nTy7D99ch58jbY,2026-03-17 22:06:28.607,0.028078,,,0,0,107991,1,0,0,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,stop,stop,14438,14438,OpenClaw,OPenClaw
gen-1773783114-jsnpsaJ8ctv2Bcse0qgD,2026-03-17 21:31:54.264,0.0071,,,0,0,27148,111,0,0,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,true,true,,,,5786,2490,OpenClaw,OPenClaw
gen-1773783109-u13peDnOyJDcYZi0dQZN,2026-03-17 21:31:48.482,0.004691,,-0.002745,0,0,28460,99,0,21120,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,5034,2100,OpenClaw,OPenClaw
gen-1773783102-DEqD5e3H3jjYJgOYk6Gg,2026-03-17 21:31:42.778,0.007387,,-0.000016,0,0,28356,84,0,128,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,5634,2403,OpenClaw,OPenClaw
gen-1773783096-3bQtugexnbPGlpDX2Gmf,2026-03-17 21:31:36.927,0.003734,,-0.003644,0,0,28233,101,0,28032,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,5758,2730,OpenClaw,OPenClaw
gen-1773783090-dN0MKDfLLs5kxkXGDSfp,2026-03-17 21:31:30.330,0.004867,,-0.002479,0,0,28067,129,0,19072,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,6509,2522,OpenClaw,OPenClaw
gen-1773783085-ddgKwpvCLJvodwbanB6r,2026-03-17 21:31:25.320,0.006634,,-0.000066,0,0,25630,97,0,512,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,4883,1989,OpenClaw,OPenClaw
gen-1773783074-BDfmw6YNGXERDtH70bP3,2026-03-17 21:31:14.333,0.003415,,-0.003269,0,0,25306,279,0,25152,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,10899,3024,OpenClaw,OPenClaw
gen-1773783067-RTHUQBqDoS7WMp5zidwY,2026-03-17 21:31:07.177,0.003444,,-0.003144,0,0,25163,124,0,24192,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,,tool_calls,tool_calls,6984,2765,OpenClaw,OPenClaw
